Date,Drug,Actual,Forecasted,Error,Abs_Error_Pct,Upper,Lower,Period,MAPE_%
30/06/2020,M01AB (Diclofenac),,167.47,,,214.59,120.34,Forecast,10.1
31/07/2020,M01AB (Diclofenac),,164.17,,,211.29,117.05,Forecast,10.1
31/08/2020,M01AB (Diclofenac),,155.38,,,202.51,108.26,Forecast,10.1
30/09/2020,M01AB (Diclofenac),,178.53,,,225.66,131.41,Forecast,10.1
31/10/2020,M01AB (Diclofenac),,183.9,,,231.02,136.77,Forecast,10.1
30/11/2020,M01AB (Diclofenac),,164.08,,,211.2,116.96,Forecast,10.1
31/12/2020,M01AB (Diclofenac),,177.88,,,225,130.76,Forecast,10.1
31/01/2014,M01AE (Ibuprofen),99.09,87.68,,,,,Train,
28/02/2014,M01AE (Ibuprofen),126.05,121.02,,,,,Train,
31/03/2014,M01AE (Ibuprofen),92.95,122.37,,,,,Train,
30/04/2014,M01AE (Ibuprofen),89.47,101.07,,,,,Train,
31/05/2014,M01AE (Ibuprofen),119.93,106.07,,,,,Train,
30/06/2014,M01AE (Ibuprofen),94.71,100.41,,,,,Train,
31/07/2014,M01AE (Ibuprofen),95.01,110.96,,,,,Train,
31/08/2014,M01AE (Ibuprofen),99.8,105.53,,,,,Train,
30/09/2014,M01AE (Ibuprofen),109.09,107.93,,,,,Train,
31/10/2014,M01AE (Ibuprofen),185.24,122.04,,,,,Train,
30/11/2014,M01AE (Ibuprofen),100.86,113.23,,,,,Train,
31/12/2014,M01AE (Ibuprofen),121.4,121.24,,,,,Train,
31/01/2015,M01AE (Ibuprofen),130.35,90.48,,,,,Train,
28/02/2015,M01AE (Ibuprofen),123.74,128.99,,,,,Train,
31/03/2015,M01AE (Ibuprofen),129.39,128.47,,,,,Train,
30/04/2015,M01AE (Ibuprofen),101.1,112.68,,,,,Train,
31/05/2015,M01AE (Ibuprofen),119.12,117.68,,,,,Train,
30/06/2015,M01AE (Ibuprofen),113.7,109.76,,,,,Train,
31/07/2015,M01AE (Ibuprofen),113.81,122.06,,,,,Train,
31/08/2015,M01AE (Ibuprofen),144.52,118.03,,,,,Train,
30/09/2015,M01AE (Ibuprofen),134.12,126.29,,,,,Train,
31/10/2015,M01AE (Ibuprofen),127.23,141.61,,,,,Train,
30/11/2015,M01AE (Ibuprofen),128.2,118.71,,,,,Train,
31/12/2015,M01AE (Ibuprofen),131.29,130.68,,,,,Train,
31/01/2016,M01AE (Ibuprofen),128.4,100.01,,,,,Train,
